Depth_of_Cut,Feed_Rate,Cutting_Speed,Material,Tool,Predicted_Ra
0.4,0.05,266.67,41Cr4,Tool1,0.519
0.4,0.05,300.0,20MnCr5,Tool1,0.5861
0.4,0.05,300.0,EN AW-6082,Tool1,0.5808
0.4,0.05,300.0,41Cr4,Tool1,0.511
0.4,0.05,333.33,20MnCr5,Tool1,0.5861
0.4,0.05,333.33,EN AW-6082,Tool1,0.5808
0.4,0.05,333.33,41Cr4,Tool1,0.511
0.4,0.05,366.67,20MnCr5,Tool1,0.5861
0.4,0.05,366.67,EN AW-6082,Tool1,0.5808
0.4,0.05,366.67,41Cr4,Tool1,0.511
0.4,0.05,400.0,20MnCr5,Tool1,0.5861
0.4,0.05,400.0,EN AW-6082,Tool1,0.5808
0.4,0.05,400.0,41Cr4,Tool1,0.511
0.4,0.1,100.0,20MnCr5,Tool1,1.3539
0.4,0.1,100.0,EN AW-6082,Tool1,1.2792
0.4,0.1,100.0,41Cr4,Tool1,1.2262
0.4,0.1,133.33,20MnCr5,Tool1,0.9609
0.4,0.1,133.33,EN AW-6082,Tool1,0.9339
0.4,0.1,133.33,41Cr4,Tool1,0.8306
0.4,0.1,166.67,20MnCr5,Tool1,0.8261
0.4,0.1,166.67,EN AW-6082,Tool1,0.8105
0.4,0.1,166.67,41Cr4,Tool1,0.7318
0.4,0.1,200.0,20MnCr5,Tool1,0.5984
0.4,0.1,200.0,EN AW-6082,Tool1,0.593
0.4,0.1,200.0,41Cr4,Tool1,0.5261
0.4,0.1,233.33,20MnCr5,Tool1,0.5923
0.4,0.1,233.33,EN AW-6082,Tool1,0.5869
0.4,0.1,233.33,41Cr4,Tool1,0.5192
0.4,0.1,266.67,20MnCr5,Tool1,0.5899
0.4,0.1,266.67,EN AW-6082,Tool1,0.5847
0.4,0.1,266.67,41Cr4,Tool1,0.519
0.4,0.1,300.0,20MnCr5,Tool1,0.5861
0.4,0.1,300.0,EN AW-6082,Tool1,0.5808
0.4,0.1,300.0,41Cr4,Tool1,0.511
0.4,0.1,333.33,20MnCr5,Tool1,0.5861
0.4,0.1,333.33,EN AW-6082,Tool1,0.5808
0.4,0.1,333.33,41Cr4,Tool1,0.511
0.4,0.1,366.67,20MnCr5,Tool1,0.5861
0.4,0.1,366.67,EN AW-6082,Tool1,0.5808
0.4,0.1,366.67,41Cr4,Tool1,0.511
0.4,0.1,400.0,20MnCr5,Tool1,0.5861
0.4,0.1,400.0,EN AW-6082,Tool1,0.5808
0.4,0.1,400.0,41Cr4,Tool1,0.511
0.4,0.15,100.0,20MnCr5,Tool1,1.7099
0.4,0.15,100.0,EN AW-6082,Tool1,1.4877
0.4,0.15,100.0,41Cr4,Tool1,1.18
0.4,0.15,133.33,20MnCr5,Tool1,1.0855
0.4,0.15,133.33,EN AW-6082,Tool1,1.0838
0.4,0.15,133.33,41Cr4,Tool1,0.9273
0.4,0.15,166.67,20MnCr5,Tool1,1.0412
0.4,0.15,166.67,EN AW-6082,Tool1,1.0402
0.4,0.15,166.67,41Cr4,Tool1,0.8774
0.4,0.15,200.0,20MnCr5,Tool1,1.0193
0.4,0.15,200.0,EN AW-6082,Tool1,1.0177
0.4,0.15,200.0,41Cr4,Tool1,0.8209
0.4,0.15,233.33,20MnCr5,Tool1,1.0225
0.4,0.15,233.33,EN AW-6082,Tool1,1.0201
0.4,0.15,233.33,41Cr4,Tool1,0.8188
0.4,0.15,266.67,20MnCr5,Tool1,1.0234
0.4,0.15,266.67,EN AW-6082,Tool1,1.0209
0.4,0.15,266.67,41Cr4,Tool1,0.7957
0.4,0.15,300.0,20MnCr5,Tool1,1.0239
0.4,0.15,300.0,EN AW-6082,Tool1,1.0223
0.4,0.15,300.0,41Cr4,Tool1,0.8146
0.4,0.15,333.33,20MnCr5,Tool1,1.0239
0.4,0.15,333.33,EN AW-6082,Tool1,1.0223
0.4,0.15,333.33,41Cr4,Tool1,0.8146
0.4,0.15,366.67,20MnCr5,Tool1,1.0239
0.4,0.15,366.67,EN AW-6082,Tool1,1.0223
0.4,0.15,366.67,41Cr4,Tool1,0.8146
0.4,0.15,400.0,20MnCr5,Tool1,1.0239
0.4,0.15,400.0,EN AW-6082,Tool1,1.0223
0.4,0.15,400.0,41Cr4,Tool1,0.8146
0.4,0.2,100.0,20MnCr5,Tool1,2.0377
0.4,0.2,100.0,EN AW-6082,Tool1,2.0225
0.4,0.2,100.0,41Cr4,Tool1,1.5371
0.4,0.2,133.33,20MnCr5,Tool1,1.9108
0.4,0.2,133.33,EN AW-6082,Tool1,1.9109
0.4,0.2,133.33,41Cr4,Tool1,1.5038
0.4,0.2,166.67,20MnCr5,Tool1,1.883
0.4,0.2,166.67,EN AW-6082,Tool1,1.8827
0.4,0.2,166.67,41Cr4,Tool1,1.5012
0.4,0.2,200.0,20MnCr5,Tool1,1.8658
0.4,0.2,200.0,EN AW-6082,Tool1,1.8657
0.4,0.2,200.0,41Cr4,Tool1,1.4995
0.4,0.2,233.33,20MnCr5,Tool1,1.8584
0.4,0.2,233.33,EN AW-6082,Tool1,1.8591
0.4,0.2,233.33,41Cr4,Tool1,1.4861
0.4,0.2,266.67,20MnCr5,Tool1,1.8562
0.4,0.2,266.67,EN AW-6082,Tool1,1.857
0.4,0.2,266.67,41Cr4,Tool1,1.4653
0.4,0.2,300.0,20MnCr5,Tool1,1.849
0.4,0.2,300.0,EN AW-6082,Tool1,1.8502
0.4,0.2,300.0,41Cr4,Tool1,1.3772
0.4,0.2,333.33,20MnCr5,Tool1,1.849
0.4,0.2,333.33,EN AW-6082,Tool1,1.8502
0.4,0.2,333.33,41Cr4,Tool1,1.3772
0.4,0.2,366.67,20MnCr5,Tool1,1.849
0.4,0.2,366.67,EN AW-6082,Tool1,1.8502
0.4,0.2,366.67,41Cr4,Tool1,1.3772
0.4,0.2,400.0,20MnCr5,Tool1,1.849
0.4,0.2,400.0,EN AW-6082,Tool1,1.8502
0.4,0.2,400.0,41Cr4,Tool1,1.3772
0.4,0.25,100.0,20MnCr5,Tool1,2.7426
0.4,0.25,100.0,EN AW-6082,Tool1,2.7419
0.4,0.25,100.0,41Cr4,Tool1,2.43
0.4,0.25,133.33,20MnCr5,Tool1,2.7468
0.4,0.25,133.33,EN AW-6082,Tool1,2.7464
0.4,0.25,133.33,41Cr4,Tool1,2.3952
0.4,0.25,166.67,20MnCr5,Tool1,2.7496
0.4,0.25,166.67,EN AW-6082,Tool1,2.7492
0.4,0.25,166.67,41Cr4,Tool1,2.3683
0.4,0.25,200.0,20MnCr5,Tool1,2.7519
0.4,0.25,200.0,EN AW-6082,Tool1,2.7516
0.4,0.25,200.0,41Cr4,Tool1,2.3737
0.4,0.25,233.33,20MnCr5,Tool1,2.7486
0.4,0.25,233.33,EN AW-6082,Tool1,2.7476
0.4,0.25,233.33,41Cr4,Tool1,2.3706
0.4,0.25,266.67,20MnCr5,Tool1,2.748
0.4,0.25,266.67,EN AW-6082,Tool1,2.747
0.4,0.25,266.67,41Cr4,Tool1,2.3693
0.4,0.25,300.0,20MnCr5,Tool1,2.7482
0.4,0.25,300.0,EN AW-6082,Tool1,2.7475
0.4,0.25,300.0,41Cr4,Tool1,2.3698
0.4,0.25,333.33,20MnCr5,Tool1,2.7482
0.4,0.25,333.33,EN AW-6082,Tool1,2.7475
0.4,0.25,333.33,41Cr4,Tool1,2.3698
0.4,0.25,366.67,20MnCr5,Tool1,2.7482
0.4,0.25,366.67,EN AW-6082,Tool1,2.7475
0.4,0.25,366.67,41Cr4,Tool1,2.3698
0.4,0.25,400.0,20MnCr5,Tool1,2.7482
0.4,0.25,400.0,EN AW-6082,Tool1,2.7475
0.4,0.25,400.0,41Cr4,Tool1,2.3698
0.6,0.05,100.0,20MnCr5,Tool1,1.3325
0.6,0.05,100.0,EN AW-6082,Tool1,1.2606
0.6,0.05,100.0,41Cr4,Tool1,1.2085
0.6,0.05,133.33,20MnCr5,Tool1,0.9551
0.6,0.05,133.33,EN AW-6082,Tool1,0.931
0.6,0.05,133.33,41Cr4,Tool1,0.828
0.6,0.05,166.67,20MnCr5,Tool1,0.8205
0.6,0.05,166.67,EN AW-6082,Tool1,0.8066
0.6,0.05,166.67,41Cr4,Tool1,0.7289
0.6,0.05,200.0,20MnCr5,Tool1,0.5986
0.6,0.05,200.0,EN AW-6082,Tool1,0.5939
0.6,0.05,200.0,41Cr4,Tool1,0.5264
0.6,0.05,233.33,20MnCr5,Tool1,0.5929
0.6,0.05,233.33,EN AW-6082,Tool1,0.5882
0.6,0.05,233.33,41Cr4,Tool1,0.5199
0.6,0.05,266.67,20MnCr5,Tool1,0.5905
0.6,0.05,266.67,EN AW-6082,Tool1,0.5859
0.6,0.05,266.67,41Cr4,Tool1,0.5197
0.6,0.05,300.0,20MnCr5,Tool1,0.5864
0.6,0.05,300.0,EN AW-6082,Tool1,0.5818
0.6,0.05,300.0,41Cr4,Tool1,0.5116
0.6,0.05,333.33,20MnCr5,Tool1,0.5864
0.6,0.05,333.33,EN AW-6082,Tool1,0.5818
0.6,0.05,333.33,41Cr4,Tool1,0.5116
0.6,0.05,366.67,20MnCr5,Tool1,0.5864
0.6,0.05,366.67,EN AW-6082,Tool1,0.5818
0.6,0.05,366.67,41Cr4,Tool1,0.5116
0.6,0.05,400.0,20MnCr5,Tool1,0.5864
0.6,0.05,400.0,EN AW-6082,Tool1,0.5818
0.6,0.05,400.0,41Cr4,Tool1,0.5116
0.6,0.1,100.0,20MnCr5,Tool1,1.3325
0.6,0.1,100.0,EN AW-6082,Tool1,1.2606
0.6,0.1,100.0,41Cr4,Tool1,1.2085
0.6,0.1,133.33,20MnCr5,Tool1,0.9551
0.6,0.1,133.33,EN AW-6082,Tool1,0.931
0.6,0.1,133.33,41Cr4,Tool1,0.828
0.6,0.1,166.67,20MnCr5,Tool1,0.8205
0.6,0.1,166.67,EN AW-6082,Tool1,0.8066
0.6,0.1,166.67,41Cr4,Tool1,0.7289
0.6,0.1,200.0,20MnCr5,Tool1,0.5986
0.6,0.1,200.0,EN AW-6082,Tool1,0.5939
0.6,0.1,200.0,41Cr4,Tool1,0.5264
0.6,0.1,233.33,20MnCr5,Tool1,0.5929
0.6,0.1,233.33,EN AW-6082,Tool1,0.5882
0.6,0.1,233.33,41Cr4,Tool1,0.5199
0.6,0.1,266.67,20MnCr5,Tool1,0.5905
0.6,0.1,266.67,EN AW-6082,Tool1,0.5859
0.6,0.1,266.67,41Cr4,Tool1,0.5197
0.6,0.1,300.0,20MnCr5,Tool1,0.5864
0.6,0.1,300.0,EN AW-6082,Tool1,0.5818
0.6,0.1,300.0,41Cr4,Tool1,0.5116
0.6,0.1,333.33,20MnCr5,Tool1,0.5864
0.6,0.1,333.33,EN AW-6082,Tool1,0.5818
0.6,0.1,333.33,41Cr4,Tool1,0.5116
0.6,0.1,366.67,20MnCr5,Tool1,0.5864
0.6,0.1,366.67,EN AW-6082,Tool1,0.5818
0.6,0.1,366.67,41Cr4,Tool1,0.5116
0.6,0.1,400.0,20MnCr5,Tool1,0.5864
0.6,0.1,400.0,EN AW-6082,Tool1,0.5818
0.6,0.1,400.0,41Cr4,Tool1,0.5116
0.6,0.15,100.0,20MnCr5,Tool1,1.6776
0.6,0.15,100.0,EN AW-6082,Tool1,1.4674
0.6,0.15,100.0,41Cr4,Tool1,1.1614
0.6,0.15,133.33,20MnCr5,Tool1,1.0842
0.6,0.15,133.33,EN AW-6082,Tool1,1.0833
0.6,0.15,133.33,41Cr4,Tool1,0.9273
0.6,0.15,166.67,20MnCr5,Tool1,1.0399
0.6,0.15,166.67,EN AW-6082,Tool1,1.0396
0.6,0.15,166.67,41Cr4,Tool1,0.8773
0.6,0.15,200.0,20MnCr5,Tool1,1.0188
0.6,0.15,200.0,EN AW-6082,Tool1,1.0173
0.6,0.15,200.0,41Cr4,Tool1,0.8208
0.6,0.15,233.33,20MnCr5,Tool1,1.0221
0.6,0.15,233.33,EN AW-6082,Tool1,1.0196
0.6,0.15,233.33,41Cr4,Tool1,0.8187
0.6,0.15,266.67,20MnCr5,Tool1,1.023
0.6,0.15,266.67,EN AW-6082,Tool1,1.0205
0.6,0.15,266.67,41Cr4,Tool1,0.7956
0.6,0.15,300.0,20MnCr5,Tool1,1.0235
0.6,0.15,300.0,EN AW-6082,Tool1,1.0218
0.6,0.15,300.0,41Cr4,Tool1,0.8145
0.6,0.15,333.33,20MnCr5,Tool1,1.0235
0.6,0.15,333.33,EN AW-6082,Tool1,1.0218
0.6,0.15,333.33,41Cr4,Tool1,0.8145
0.6,0.15,366.67,20MnCr5,Tool1,1.0235
0.6,0.15,366.67,EN AW-6082,Tool1,1.0218
0.6,0.15,366.67,41Cr4,Tool1,0.8145
0.6,0.15,400.0,20MnCr5,Tool1,1.0235
0.6,0.15,400.0,EN AW-6082,Tool1,1.0218
0.6,0.15,400.0,41Cr4,Tool1,0.8145
0.6,0.2,100.0,20MnCr5,Tool1,2.0343
0.6,0.2,100.0,EN AW-6082,Tool1,2.0191
0.6,0.2,100.0,41Cr4,Tool1,1.5375
0.6,0.2,133.33,20MnCr5,Tool1,1.9094
0.6,0.2,133.33,EN AW-6082,Tool1,1.9095
0.6,0.2,133.33,41Cr4,Tool1,1.5054
0.6,0.2,166.67,20MnCr5,Tool1,1.8815
0.6,0.2,166.67,EN AW-6082,Tool1,1.8812
0.6,0.2,166.67,41Cr4,Tool1,1.5028
0.6,0.2,200.0,20MnCr5,Tool1,1.8643
0.6,0.2,200.0,EN AW-6082,Tool1,1.8642
0.6,0.2,200.0,41Cr4,Tool1,1.5012
0.6,0.2,233.33,20MnCr5,Tool1,1.857
0.6,0.2,233.33,EN AW-6082,Tool1,1.8576
0.6,0.2,233.33,41Cr4,Tool1,1.4884
0.6,0.2,266.67,20MnCr5,Tool1,1.8546
0.6,0.2,266.67,EN AW-6082,Tool1,1.8554
0.6,0.2,266.67,41Cr4,Tool1,1.4682
0.6,0.2,300.0,20MnCr5,Tool1,1.8474
0.6,0.2,300.0,EN AW-6082,Tool1,1.8487
0.6,0.2,300.0,41Cr4,Tool1,1.3786
0.6,0.2,333.33,20MnCr5,Tool1,1.8474
0.6,0.2,333.33,EN AW-6082,Tool1,1.8487
0.6,0.2,333.33,41Cr4,Tool1,1.3786
0.6,0.2,366.67,20MnCr5,Tool1,1.8474
0.6,0.2,366.67,EN AW-6082,Tool1,1.8487
