Sample_ID,Experiment_Path,Surface_Roughness_Ra,Depth_of_Cut_ap,Feed_Rate_f,Cutting_Speed_vc,Material,Tool
K0025,K0025/Scope_2025_09_05_18_00_38,2.725,0.5,0.25,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_18_02_52,3.774,0.5,0.3,250.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_18_05_12,0.542,0.5,0.1,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_18_07_26,1.083,0.5,0.15,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_18_09_41,1.732,0.5,0.2,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_18_11_54,2.676,0.5,0.25,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_09_05_18_14_09,3.768,0.5,0.3,300.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_09_32_27,2.105,0.62,0.22,210.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_09_35_45,1.746,0.9,0.2,180.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_09_38_24,0.604,0.89,0.1,170.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_09_41_13,3.137,0.89,0.27,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_09_44_57,1.387,0.54,0.17,150.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_09_48_10,2.558,0.59,0.24,180.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_09_50_48,2.507,0.84,0.24,200.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_09_59_24,2.126,0.56,0.15,100.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_10_06_45,0.959,0.9,0.15,280.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_10_15_11,2.979,0.6,0.26,140.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_10_18_23,2.303,1.0,0.23,190.0,20MnCr5,DNMG150608
K0025,K0025/Scope_2025_11_11_10_21_58,2.32,0.58,0.14,100.0,20MnCr5,DNMG150608
